UF,Ano,Casos Notif,Curados,Óbitos,Outros Fins,População,Popul 0 à 4,Vacinas,Internações,Permanência,Gastos,Região
Paraná,2013,2650,1965,126,559,10997465,768412,164100,365,16177,1612680.55,Sul
Santa Catarina,2013,2268,1678,51,539,6634254,440532,87841,396,5597,533724.36,Sul
Rio Grande do Sul,2013,6348,3886,180,2282,11164043,699242,133169,939,17801,1989154.83,Sul
Mato Grosso do Sul,2013,1098,718,30,350,2587269,210672,44676,293,4125,522885.85,Centro-Oeste
Mato Grosso,2013,1886,1228,29,629,3182113,263892,56920,195,1777,235493.77,Centro-Oeste
Goiás,2013,1072,746,39,287,6434048,469094,104840,351,3395,959669.09,Centro-Oeste
Distrito Federal,2013,473,359,10,104,2789761,205671,59168,206,3056,63056.38,Centro-Oeste
Rondônia,2014,686,445,12,229,1748531,142826,30520,99,794,30993.1,Norte
Acre,2014,462,423,10,29,790101,86554,17874,70,1070,56167.53,Norte
Amazonas,2014,3143,2269,90,784,3873743,405980,94561,223,2984,246327.67,Norte
Roraima,2014,148,117,3,28,496936,51200,11145,30,297,5949.21,Norte
Pará,2014,3940,2900,69,971,8073924,783993,165996,416,5814,444281.85,Norte
Amapá,2014,211,157,5,49,750912,79310,17955,28,292,4232.39,Norte
Tocantins,2014,186,144,8,34,1496880,133055,26758,84,799,79689.29,Norte
Maranhão,2014,2111,1535,66,510,6850884,690776,134507,158,1984,125295.66,Nordeste
Piauí,2014,813,603,37,173,3193956,258000,48731,45,371,51161.56,Nordeste
Ceará,2014,3879,2536,115,1228,8843553,701860,143597,624,8617,885619.27,Nordeste
Rio Grande do Norte,2014,1187,803,46,338,3408510,262920,51593,367,6900,656376.1,Nordeste
Paraíba,2014,1312,826,57,429,3943885,316471,65448,439,14070,1151452.47,Nordeste
Pernambuco,2014,5443,3418,258,1767,9278152,732712,160334,1165,16242,2953702.48,Nordeste
Alagoas,2014,1245,833,41,371,3321305,295934,58199,171,2183,231445.45,Nordeste
Sergipe,2014,788,534,46,208,2219574,178904,35272,66,854,19654.22,Nordeste
Bahia,2014,5612,3820,204,1588,15126371,1175003,220180,1232,22562,1903472.8,Nordeste
Minas Gerais,2014,4193,2926,167,1100,20734097,1391618,265916,977,15831,1552218.42,Sudeste
Espírito Santo,2014,1314,996,60,258,3885049,272680,57384,151,1873,282677.55,Sudeste
Rio de Janeiro,2014,13095,8708,700,3687,16461173,1039689,256083,1082,27020,2017304.72,Sudeste
São Paulo,2014,19976,15272,648,4056,44035304,2909839,644125,2635,92828,8292425.2,Sudeste
Paraná,2014,2554,1925,91,538,11081692,758051,168394,389,15830,1562564.08,Sul
Santa Catarina,2014,2248,1608,49,591,6727148,439722,96345,502,7225,849762.95,Sul
Rio Grande do Sul,2014,6372,3837,222,2313,11207274,689091,147550,950,18582,1869900.69,Sul
Mato Grosso do Sul,2014,998,624,26,348,2619657,208767,56169,267,4623,610542.43,Centro-Oeste
Mato Grosso,2014,1794,1220,34,540,3224357,261321,60163,197,1676,379981.98,Centro-Oeste
Goiás,2014,991,683,41,267,6523222,464826,110957,204,2305,342099.31,Centro-Oeste
Distrito Federal,2014,512,359,12,141,2852372,207031,50321,119,1406,38064.02,Centro-Oeste
Rondônia,2015,665,448,4,213,1768204,140771,30723,124,1322,28384.98,Norte
Acre,2015,361,308,14,39,803513,85849,18662,63,828,63174.42,Norte
Amazonas,2015,3404,2362,95,947,3938336,402454,88151,254,2875,204862.93,Norte
Roraima,2015,174,124,2,48,505665,50684,12043,38,466,3899.37,Norte
Pará,2015,3991,2565,62,1364,8175113,773411,136610,415,5280,394581.57,Norte
Amapá,2015,225,155,4,66,766679,78505,19220,36,488,10900.9,Norte
Tocantins,2015,193,139,5,49,1515126,131141,26676,59,550,67490.42,Norte
Maranhão,2015,2238,1569,76,593,6904241,675876,123938,215,2684,176585.02,Nordeste
Piauí,2015,754,534,22,198,3203262,251014,41616,105,1450,214329.6,Nordeste
Ceará,2015,4012,2623,96,1293,8905225,690831,150258,599,8566,803102.78,Nordeste
Rio Grande do Norte,2015,1156,738,44,374,3442175,259349,49978,355,6909,688803.37,Nordeste
Paraíba,2015,1250,472,42,736,3972202,310943,61443,390,11670,995539.32,Nordeste
Pernambuco,2015,5649,3560,325,1764,9345603,720322,160746,1311,17236,3765597.9,Nordeste
Alagoas,2015,1068,699,45,324,3340502,289640,54449,219,2655,296199.16,Nordeste
Sergipe,2015,771,531,39,201,2242937,176488,37111,66,663,25830.61,Nordeste
Bahia,2015,5304,3534,211,1559,15203934,1154241,214548,1207,22056,1853949.65,Nordeste
Minas Gerais,2015,4055,2695,186,1174,20869101,1371765,269246,960,14743,1897726.63,Sudeste
Espírito Santo,2015,1395,1059,77,259,3929911,270237,56585,200,2172,268077.37,Sudeste
Rio de Janeiro,2015,13367,8453,562,4352,16550024,1028195,259364,1397,44075,3488800.35,Sudeste
São Paulo,2015,20376,15760,683,3933,44396484,2874406,629304,3155,104527,9098172.1,Sudeste
Paraná,2015,2466,1846,84,536,11163018,748103,168928,512,16792,2381590.99,Sul
Santa Catarina,2015,2180,1497,45,638,6819190,439113,99809,599,8301,1127508.5,Sul
Rio Grande do Sul,2015,6380,3672,251,2457,11247972,679752,149914,1067,17886,1964676.93,Sul
Mato Grosso do Sul,2015,1003,592,31,380,2651235,206704,55822,271,4373,900972.92,Centro-Oeste
Mato Grosso,2015,1442,987,40,415,3265486,258579,59563,133,1236,196995.26,Centro-Oeste
Goiás,2015,1095,753,53,289,6610681,460912,102456,293,2524,413064.13,Centro-Oeste
Distrito Federal,2015,478,336,13,129,2914830,208455,35322,240,3349,59090.29,Centro-Oeste
Rondônia,2016,775,548,10,217,1787279,138798,29633,138,1827,58125.61,Norte
Acre,2016,450,403,8,39,816687,85089,17344,66,773,62584.78,Norte
Amazonas,2016,3259,2354,96,809,4001667,398509,78652,209,1752,73333.46,Norte
Roraima,2016,160,108,3,49,514229,50165,12087,45,640,12755.59,Norte
Pará,2016,4224,2844,57,1323,8272724,762492,121902,418,5508,440515.75,Norte
Amapá,2016,287,182,2,103,782295,77764,18696,33,442,6561.03,Norte
Tocantins,2016,210,148,2,60,1532902,129286,26112,76,735,83474.15,Norte
Maranhão,2016,2442,1678,81,683,6954036,660953,110671,222,2813,168914.44,Nordeste
Piauí,2016,812,576,41,195,3211411,244664,41711,149,1672,206811.77,Nordeste
Ceará,2016,4045,2707,102,1236,8964432,680505,146269,618,9087,877335.02,Nordeste
Rio Grande do Norte,2016,1182,766,63,353,3474998,256027,43523,374,7437,741435.24,Nordeste
Paraíba,2016,1215,763,30,422,3999415,305512,56916,351,8663,775519.21,Nordeste
Pernambuco,2016,5513,3528,302,1683,9410772,708688,145569,1260,16803,3198730.59,Nordeste
Alagoas,2016,1236,755,67,414,3358527,283664,55175,252,2609,332314.44,Nordeste
Sergipe,2016,800,520,31,249,2265779,174361,33980,102,1055,30816.65,Nordeste
Bahia,2016,5300,3462,165,1673,15276566,1134070,175660,1286,21561,2270737.47,Nordeste
Minas Gerais,2016,4073,2788,181,1104,20997560,1352750,242264,1057,14970,2043350.63,Sudeste
Espírito Santo,2016,1238,922,70,246,3973697,267843,52147,247,2829,467440.17,Sudeste
Rio de Janeiro,2016,13645,8931,479,4235,16635996,1017525,250225,1220,26118,2061710.77,Sudeste
São Paulo,2016,20587,16079,703,3805,44749699,2841127,595161,3313,96670,8851460.87,Sudeste
Paraná,2016,2436,1773,98,565,11242720,738585,155839,418,12278,1480107.73,Sul
Santa Catarina,2016,2199,1492,42,665,6910553,438584,96811,608,9598,1047598.4,Sul
Rio Grande do Sul,2016,6043,3637,206,2200,11286500,671105,137062,1004,18132,2051925.79,Sul
Mato Grosso do Sul,2016,1130,699,41,390,2682386,204543,47328,220,4850,643797.07,Centro-Oeste
Mato Grosso,2016,1456,934,47,475,3305531,255724,57035,139,1323,108483.93,Centro-Oeste
Goiás,2016,1027,670,46,311,6695855,457302,94253,320,3029,493656.23,Centro-Oeste
Distrito Federal,2016,463,316,9,138,2977216,209853,62573,224,3289,65138.63,Centro-Oeste
Rondônia,2017,780,566,10,204,1805788,136935,28456,182,2412,115182.75,Norte
Acre,2017,484,451,7,26,829619,84259,16926,60,715,49001.55,Norte
Amazonas,2017,3693,2610,147,936,4063614,394089,77423,230,1798,164288.53,Norte
